movement,path,avg_speed,median_speed,max_speed,max_step,max_accel,y_range,radial_std,turns,stationary_ratio
HoverSwarm,4.0419,0.6736,0.7005,0.9360,0.0312,1.1250,0.4757,0.4762,0,0.0000
Flutter,6.0859,1.0143,0.9369,1.7960,0.0599,4.5096,0.2800,0.5621,9,0.0000
Dart,3.8039,0.6340,0.4325,1.5782,0.0526,24.8690,0.4030,0.3455,15,0.0056
Drift,1.3924,0.2321,0.2431,0.2936,0.0098,0.0996,0.2462,0.3501,0,0.0000
GroundScuttle,6.5339,1.0890,1.1164,1.7401,0.0580,4.3636,0.0000,0.4098,11,0.0000
Hop,2.6465,0.4411,0.6961,0.7463,0.0249,16.0851,0.2790,0.1970,0,0.3722
Flock,1.7158,0.2860,0.2553,0.4793,0.0160,0.3550,0.1945,0.4198,0,0.0000
Orbit,13.0250,2.1708,2.1711,2.1830,0.0728,2.2087,0.3200,0.0038,0,0.0000
